#APS Storage Ring History, measured on 2013-07-09
#S:SRtimeCP      S:SRcurrentCP
#time, hr       	current, mA     
-10.9          	102.143        
-10.8833       	102.184        
-10.8667       	102.22         
-10.85         	102.462        
-10.8333       	102.194        
-10.8167       	102.22         
-10.8          	102.237        
-10.7833       	102.268        
-10.7667       	101.997        
-10.75         	102.31         
-10.7333       	102.037        
-10.7167       	102.065        
-10.7          	102.091        
-10.6833       	102.133        
-10.6667       	102.411        
-10.65         	102.133        
-10.6333       	102.167        
-10.6167       	102.196        
-10.6          	102.229        
-10.5833       	102.255        
-10.5667       	102.281        
-10.55         	102.013        
-10.5333       	102.306        
-10.5167       	102.036        
-10.5          	102.082        
-10.4833       	102.112        
-10.4667       	102.416        
-10.45         	102.141        
-10.4333       	102.171        
-10.4167       	102.213        
-10.4          	102.251        
-10.3833       	102.282        
-10.3667       	102.009        
-10.35         	102.265        
-10.3333       	101.994        
-10.3167       	102.029        
-10.3          	102.048        
-10.2833       	102.055        
-10.2667       	102.322        
-10.25         	102.047        
-10.2333       	102.082        
-10.2167       	102.126        
-10.2          	102.151        
-10.1833       	102.191        
-10.1667       	102.48         
-10.15         	102.211        
-10.1333       	102.231        
-10.1167       	102.226        
-10.1          	102.228        
-10.0833       	102.451        
-10.0667       	102.168        
-10.05         	102.193        
-10.0333       	102.207        
-10.0167       	102.222        
-10            	102.423        
-9.98333       	102.135        
-9.96667       	102.156        
-9.95          	102.151        
-9.93333       	102.314        
-9.91667       	102.029        
-9.9           	102.037        
-9.88333       	102.047        
-9.86667       	102.05         
-9.85          	102.283        
-9.83333       	102.004        
-9.81667       	102.019        
-9.8           	102.028        
-9.78333       	102.236        
-9.76667       	102.251        
-9.75          	101.968        
-9.73333       	101.979        
-9.71667       	101.981        
-9.7           	102.213        
-9.68333       	102.227        
-9.66667       	102.223        
-9.65          	102.18         
-9.63333       	102.18         
-9.61667       	102.392        
-9.6           	102.104        
-9.58333       	102.106        
-9.56667       	102.118        
-9.55          	102.13         
-9.53333       	102.343        
-9.51667       	102.056        
-9.5           	102.063        
-9.48333       	102.079        
-9.46667       	102.089        
-9.45          	102.26         
-9.43333       	101.975        
-9.41667       	101.994        
-9.4           	102.006        
-9.38333       	102.251        
-9.36667       	102.247        
-9.35          	102.252        
-9.33333       	102.249        
-9.31667       	102.238        
-9.3           	102.475        
-9.28333       	102.187        
-9.26667       	102.21         
-9.25          	102.234        
-9.23333       	102.246        
-9.21667       	102.421        
-9.2           	102.149        
-9.18333       	102.168        
-9.16667       	102.19         
-9.15          	102.21         
-9.13333       	102.455        
-9.11667       	102.183        
-9.1           	102.188        
-9.08333       	102.2          
-9.06667       	102.191        
-9.05          	102.39         
-9.03333       	102.109        
-9.01667       	102.111        
-9             	102.129        
-8.98333       	102.149        
-8.96667       	102.414        
-8.95          	102.133        
-8.93333       	102.137        
-8.91667       	102.156        
-8.9           	102.152        
-8.88333       	102.338        
-8.86667       	102.057        
-8.85          	102.053        
-8.83333       	102.043        
-8.81667       	102.184        
-8.8           	102.198        
-8.78333       	102.234        
-8.76667       	102.253        
-8.75          	102.502        
-8.73333       	102.229        
-8.71667       	102.234        
-8.7           	102.258        
-8.68333       	102.265        
-8.66667       	101.995        
-8.65          	102.144        
-8.63333       	102.153        
-8.61667       	102.171        
-8.6           	102.181        
-8.58333       	102.333        
-8.56667       	102.055        
-8.55          	102.075        
-8.53333       	102.083        
-8.51667       	102.087        
-8.5           	102.31         
-8.48333       	102.029        
-8.46667       	101.996        
-8.45          	102            
-8.43333       	102.004        
-8.41667       	102.139        
-8.4           	102.144        
-8.38333       	102.159        
-8.36667       	102.323        
-8.35          	102.041        
-8.33333       	102.068        
-8.31667       	102.075        
-8.3           	102.078        
-8.28333       	102.28         
-8.26667       	101.994        
-8.25          	101.983        
-8.23333       	101.995        
-8.21667       	101.992        
-8.2           	102.001        
-8.18333       	102.188        
-8.16667       	102.207        
-8.15          	102.212        
-8.13333       	102.385        
-8.11667       	102.101        
-8.1           	102.102        
-8.08333       	102.113        
-8.06667       	102.266        
-8.05          	101.982        
-8.03333       	101.992        
-8.01667       	101.999        
-8             	101.999        
-7.98333       	102.193        
-7.96667       	102.2          
-7.95          	102.221        
-7.93333       	102.236        
-7.91667       	102.4          
-7.9           	102.125        
-7.88333       	102.133        
-7.86667       	102.133        
-7.85          	102.142        
-7.83333       	102.285        
-7.81667       	102.003        
-7.8           	102.006        
-7.78333       	102.032        
-7.76667       	102.257        
-7.75          	101.976        
-7.73333       	102.002        
-7.71667       	102.024        
-7.7           	102.05         
-7.68333       	102.229        
-7.66667       	102.196        
-7.65          	102.208        
-7.63333       	102.218        
-7.61667       	102.44         
-7.6           	102.161        
-7.58333       	102.169        
-7.56667       	102.189        
-7.55          	102.212        
-7.53333       	102.363        
-7.51667       	102.086        
-7.5           	102.09         
-7.48333       	102.105        
-7.46667       	102.346        
-7.45          	102.056        
-7.43333       	102.062        
-7.41667       	102.073        
-7.4           	102.074        
-7.38333       	102.172        
-7.36667       	102.142        
-7.35          	102.147        
-7.33333       	102.297        
-7.31667       	102.007        
-7.3           	101.996        
-7.28333       	102.009        
-7.26667       	102.242        
-7.25          	102.244        
-7.23333       	102.229        
-7.21667       	102.262        
-7.2           	101.986        
-7.18333       	102.217        
-7.16667       	102.235        
-7.15          	102.247        
-7.13333       	102.263        
-7.11667       	101.974        
-7.1           	102.199        
-7.08333       	102.236        
-7.06667       	102.254        
-7.05          	101.994        
-7.03333       	102.027        
-7.01667       	102.048        
-7             	102.28         
-6.98333       	102.013        
-6.96667       	102.03         
-6.95          	102.064        
-6.93333       	102.084        
-6.91667       	102.27         
-6.9           	102.008        
-6.88333       	102            
-6.86667       	102.013        
-6.85          	102.246        
-6.83333       	102.273        
-6.81667       	102.002        
-6.8           	102.046        
-6.78333       	102.074        
-6.76667       	102.112        
-6.75          	102.355        
-6.73333       	102.085        
-6.71667       	102.116        
-6.7           	102.146        
-6.68333       	102.168        
-6.66667       	102.41         
-6.65          	102.147        
-6.63333       	102.176        
-6.61667       	102.209        
-6.6           	102.227        
-6.58333       	102.484        
-6.56667       	102.216        
-6.55          	102.24         
-6.53333       	102.255        
-6.51667       	102.248        
-6.5           	102.425        
-6.48333       	102.148        
-6.46667       	102.144        
-6.45          	102.155        
-6.43333       	102.403        
-6.41667       	102.125        
-6.4           	102.138        
-6.38333       	102.128        
-6.36667       	102.35         
-6.35          	102.073        
-6.33333       	102.072        
-6.31667       	102.078        
-6.3           	102.096        
-6.28333       	102.086        
-6.26667       	102.28         
-6.25          	102.003        
-6.23333       	102            
-6.21667       	102.198        
-6.2           	102.188        
-6.18333       	102.213        
-6.16667       	102.175        
-6.15          	102.364        
-6.13333       	102.089        
-6.11667       	102.092        
-6.1           	102.068        
-6.08333       	102.07         
-6.06667       	101.783        
-6.05          	101.498        
-6.03333       	101.21         
-6.01667       	100.935        
-6             	100.674        
-5.98333       	100.406        
-5.96667       	100.125        
-5.95          	99.844         
-5.93333       	99.5588        
-5.91667       	99.2832        
-5.9           	99.007         
-5.88333       	-0.0447075     
-5.86667       	-0.0413791     
-5.85          	-0.00505225    
-5.83333       	-0.0367799     
-5.81667       	-0.0312761     
-5.8           	-0.0321399     
-5.78333       	-0.0281533     
-5.76667       	-0.0238979     
-5.75          	-0.0192183     
-5.73333       	-0.0161668     
-5.71667       	-0.0152497     
-5.7           	-0.0125486     
-5.68333       	-0.0127418     
-5.66667       	-0.01159       
-5.65          	-0.00693171    
-5.63333       	-0.00730797    
-5.61667       	-0.00289492    
-5.6           	-0.00203831    
-5.58333       	-5.45075e-05   
-5.56667       	0.00269345     
-5.55          	-0.00102369    
-5.53333       	0.00196895     
